DDX11L2	chr1	11869	14409
MIR1302-2HG	chr1	29554	31109
FAM138A	chr1	34554	36081
ENSG00000290826	chr1	57598	64116
OR4F5	chr1	65419	71585
ENSG00000238009	chr1	89295	133723
ENSG00000239945	chr1	89551	91105
ENSG00000239906	chr1	139790	140339
ENSG00000241860	chr1	141474	173862
ENSG00000241599	chr1	160446	161525
ENSG00000286448	chr1	266855	268655
ENSG00000236601	chr1	358857	366052
ENSG00000290385	chr1	365389	522928
OR4F29	chr1	450740	451678
ENSG00000235146	chr1	587629	594768
OR4F16	chr1	685716	686654
ENSG00000291215	chr1	725885	778688
ENSG00000229905	chr1	760911	761989
LINC01409	chr1	778747	810065
ENSG00000290784	chr1	800879	817712
FAM87B	chr1	817371	819837
LINC00115	chr1	824228	827539
LINC01128	chr1	825138	859446
ENSG00000288531	chr1	860226	868202
FAM41C	chr1	868071	876903
ENSG00000272438	chr1	904834	915976
ENSG00000230699	chr1	911435	914948
ENSG00000241180	chr1	914171	914971
LINC02593	chr1	916865	921016
SAMD11	chr1	923923	944575
NOC2L	chr1	944203	959309
KLHL17	chr1	960584	965719
PLEKHN1	chr1	966482	975865
PERM1	chr1	975198	982117
ENSG00000272512	chr1	995966	998051
HES4	chr1	998962	1000172
ISG15	chr1	1001138	1014540
ENSG00000224969	chr1	1011997	1013193
AGRN	chr1	1020120	1056118
ENSG00000242590	chr1	1055033	1056116
ENSG00000291156	chr1	1059687	1066459
ENSG00000273443	chr1	1062208	1063288
RNF223	chr1	1070967	1074306
C1orf159	chr1	1081818	1116361
ENSG00000285812	chr1	1097585	1104598
LINC01342	chr1	1137017	1144056
ENSG00000272141	chr1	1169357	1170343
TTLL10-AS1	chr1	1173056	1179555
TTLL10	chr1	1173880	1197936
TNFRSF18	chr1	1203508	1206592
TNFRSF4	chr1	1211326	1214153
SDF4	chr1	1216931	1232031
B3GALT6	chr1	1232237	1235041
C1QTNF12	chr1	1242446	1246722
ENSG00000260179	chr1	1249777	1251334
UBE2J2	chr1	1253909	1273864
LINC01786	chr1	1275223	1280420
SCNN1D	chr1	1280436	1292029
ACAP3	chr1	1292390	1309609
PUSL1	chr1	1308597	1311677
INTS11	chr1	1311585	1324687
ENSG00000240731	chr1	1317581	1318689
CPTP	chr1	1324756	1328896
TAS1R3	chr1	1331280	1335314
DVL1	chr1	1335276	1349418
MXRA8	chr1	1352689	1361777
AURKAIP1	chr1	1373730	1375207
CCNL2	chr1	1385711	1399335
MRPL20-AS1	chr1	1399515	1402046
MRPL20	chr1	1401909	1407293
MRPL20-DT	chr1	1409096	1410618
ANKRD65	chr1	1418420	1421769
ANKRD65-AS1	chr1	1420245	1422691
TMEM88B	chr1	1425871	1430255
LINC01770	chr1	1430539	1434573
VWA1	chr1	1434861	1442882
ATAD3C	chr1	1449689	1470163
ATAD3B	chr1	1471765	1497848
ENSG00000290916	chr1	1503250	1509466
ATAD3A	chr1	1512162	1534685
TMEM240	chr1	1534778	1540624
SSU72	chr1	1541673	1574863
ENSG00000215014	chr1	1574102	1577075
FNDC10	chr1	1598012	1600135
ENSG00000286989	chr1	1600314	1602703
ENSG00000272106	chr1	1613758	1615795
MIB2	chr1	1615454	1630605
MMP23B	chr1	1632163	1635263
CDK11B	chr1	1635225	1659012
ENSG00000272004	chr1	1659325	1662602
SLC35E2B	chr1	1659529	1692795
CDK11A	chr1	1702379	1724357
ENSG00000290854	chr1	1724838	1745992
NADK	chr1	1751232	1780457
GNB1	chr1	1785285	1892292
GNB1-DT	chr1	1891223	1892726
CALML6	chr1	1915108	1917296
TMEM52	chr1	1917590	1919279
CFAP74	chr1	1921951	2003837
ENSG00000233542	chr1	2013213	2015639
GABRD	chr1	2019329	2030758
PRKCZ-DT	chr1	2049203	2050070
PRKCZ	chr1	2050411	2185395
ENSG00000271806	chr1	2141084	2145279
PRKCZ-AS1	chr1	2181794	2184389
FAAP20	chr1	2184461	2212720
ENSG00000234396	chr1	2212523	2220738
SKI	chr1	2227388	2310213
ENSG00000287356	chr1	2315040	2323085
MORN1	chr1	2321253	2391707
ENSG00000272161	chr1	2326201	2326693
ENSG00000272420	chr1	2363061	2363628
RER1	chr1	2391775	2405442
PEX10	chr1	2403964	2413797
PLCH2	chr1	2425980	2505532
ENSG00000224387	chr1	2492300	2493258
ENSG00000229393	chr1	2493437	2494479
PANK4	chr1	2508537	2526597
HES5	chr1	2528745	2530263
ENSG00000272449	chr1	2530064	2547471
TNFRSF14-AS1	chr1	2549920	2557031
TNFRSF14	chr1	2555639	2565382
ENSG00000228037	chr1	2581560	2584533
ENSG00000289610	chr1	2585610	2586060
PRXL2B	chr1	2586491	2591469
MMEL1	chr1	2590639	2633016
MMEL1-AS1	chr1	2632568	2636620
TTC34	chr1	2636986	2801693
ENSG00000285945	chr1	2768091	2784733
ENSG00000283259	chr1	2773603	2776473
ENSG00000233234	chr1	2811850	2812692
ENSG00000287396	chr1	2814056	2817767
ENSG00000231630	chr1	2814432	2814998
ENSG00000284745	chr1	2960658	2968707
ACTRT2	chr1	3021467	3022903
PRDM16-DT	chr1	3059611	3069091
PRDM16	chr1	3069168	3438621
ENSG00000226286	chr1	3132927	3133709
ENSG00000272235	chr1	3306636	3310096
ENSG00000287828	chr1	3313052	3323149
ENSG00000286518	chr1	3367815	3373928
ARHGEF16	chr1	3454665	3481113
ENSG00000272088	chr1	3487246	3487627
MEGF6	chr1	3487951	3611508
ENSG00000238260	chr1	3622857	3624786
TPRG1L	chr1	3625015	3630127
WRAP73	chr1	3630767	3652761
TP73	chr1	3652516	3736201
TP73-AS3	chr1	3658938	3668772
TP73-AS2	chr1	3712200	3714298
CCDC27	chr1	3746460	3771645
SMIM1	chr1	3772749	3775982
LRRC47	chr1	3778559	3796498
ENSG00000272153	chr1	3785008	3785538
CEP104	chr1	3812086	3857396
DFFB	chr1	3857267	3885429
C1orf174	chr1	3889125	3900293
LINC01134	chr1	3900347	3917225
LINC01346	chr1	3940486	3955262
LINC01345	chr1	3944547	3949024
LINC02780	chr1	3976133	4012704
ENSG00000284703	chr1	4012921	4019508
LINC01777	chr1	4412027	4424689
ENSG00000284694	chr1	4479131	4484375
ENSG00000227169	chr1	4551735	4552145
LINC01646	chr1	4571481	4594016
AJAP1	chr1	4654609	4792534
ENSG00000287586	chr1	4730211	4734992
ENSG00000284739	chr1	4963954	4973298
LINC02781	chr1	4973381	4981568
LINC02782	chr1	5086459	5090899
ENSG00000284616	chr1	5301928	5307394
ENSG00000284692	chr1	5478736	5493057
ENSG00000284666	chr1	5480787	5482028
ENSG00000260972	chr1	5492978	5494674
ENSG00000236948	chr1	5561709	5668295
ENSG00000289893	chr1	5733358	5771453
NPHP4	chr1	5862811	5992473
